# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 20 13:17:44 2025
#
# User preference: *
#
# CONSTRAINT:  where (hostname like '%kepler-324%'
# CONSTRAINT:  and discoverymethod like '%transit%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,34.20693950000,0.00068690000,-0.00068690000,0,0.1990000000,,,0,1.13000000,0.35000000,-0.08000000,0,0.10081202,0.03122496,-0.00713713,0,,,,,,,,,,0.000000,,,0,11.9800,11.4800,-2.6900,0,474.00,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5355.00,171.00,-138.00,0,0.803000,0.252000,-0.058000,0,0.901000,0.068000,-0.092000,0,0.0000,0.2600,-0.2600,0,[Fe/H],4.581000,0.024000,-0.204000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2014-11-18,2014-12-04,2014-11-18
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,34.20578507900,,,0,0.1949000000,,,0,1.10000000,0.09000000,-0.06000000,0,0.09813560,0.00802928,-0.00535285,0,,,,,,,,,,0.000000,,,0,11.6700,2.8900,-2.1600,0,471.00,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5191.00,103.00,-103.00,0,0.826000,0.061000,-0.050000,0,0.844000,0.049000,-0.044000,0,0.0800,0.1500,-0.1500,0,[Fe/H],4.530000,0.044000,-0.055000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2017-05-08,2017-08-31 00:00,2017-05-08
KOI-1831 d,Kepler-324,1,1,4,Transit,2021,Kepler,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,34.16900000000,,,0,,,,,1.13000000,0.05000000,-0.05000000,0,0.10081202,0.00446071,-0.00446071,0,2.23000000,0.50000000,-0.84000000,0,0.00701636,0.00157318,-0.00264294,0,Mass,,,,,,,,,475.00,9.00,-9.00,0,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,,5233.00,60.00,-60.00,0,0.835000,0.023000,-0.022000,0,0.901000,0.017000,-0.027000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2021-06-11,2021-05,2021-06-11
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,34.20578507900,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5214.00,122.00,-122.00,0,0.859378,,,0,0.890000,,,0,,,,,,4.519090,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2018-09-25,2018-08-16,2018-09-25
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,34.20693950000,0.00068690000,-0.00068690000,0,0.1990000000,,,0,1.13000000,0.35000000,-0.08000000,0,0.10081202,0.03122496,-0.00713713,0,,,,,,,,,,0.000000,,,0,11.9800,11.4800,-2.6900,0,474.00,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5355.00,171.00,-138.00,0,0.803000,0.252000,-0.058000,0,0.901000,0.068000,-0.092000,0,0.0000,0.2600,-0.2600,0,[Fe/H],4.581000,0.024000,-0.204000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2014-11-21,2014-12-18,2014-11-21
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,34.19311054000,0.00005134000,-0.00005134000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5214.00,122.00,-122.00,0,0.859378,,,0,0.890000,,,0,,,,,,4.519090,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2016-07-26,2016-07,2016-07-28
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,34.20690000000,0.00087000000,-0.00087000000,0,0.1960000000,,,0,1.30000000,1.20000000,-1.20000000,0,0.11597843,0.10705701,-0.10705701,0,,,,,,,,,,0.000000,,,0,,,,0,459.00,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5319.00,84.00,-84.00,0,0.750000,0.680000,-0.680000,0,0.850000,0.150000,-0.150000,0,,,,0,,4.620000,0.300000,-0.300000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2013-10-28,2014-01-08,2013-10-28
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Published Candidate,0,<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>,34.20693950000,0.00068690000,-0.00068690000,0,0.1992400000,0.0016300000,-0.0016300000,0,1.17500000,0.08100000,-0.08100000,0,0.10482666,0.00722635,-0.00722635,0,,,,,,,,,,,,,,11.8000,0.9000,-0.9000,0,,,,,0,<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>,,5233.00,60.00,-60.00,0,0.835000,0.023000,-0.022000,0,0.901000,0.017000,-0.027000,0,0.1800,0.0400,-0.0400,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2024-12-05,2018-12,2024-12-05
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,34.20693950000,0.00068690000,-0.00068690000,0,0.1990000000,,,0,1.13000000,0.35000000,-0.08000000,0,0.10081202,0.03122496,-0.00713713,0,,,,,,,,,,0.000000,,,0,11.9800,11.4800,-2.6900,0,474.00,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5355.00,171.00,-138.00,0,0.803000,0.252000,-0.058000,0,0.901000,0.068000,-0.092000,0,0.0000,0.2600,-0.2600,0,[Fe/H],4.581000,0.024000,-0.204000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2015-08-25,2015-09-24,2015-08-25
KOI-1831 d,Kepler-324,0,1,4,Transit,2021,Kepler,Published Confirmed,0,<a refstr=OFIR_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...90O/abstract target=ref>Ofir et al. 2025</a>,34.20578500000,0.00001500000,-0.00001500000,0,,,,,,,,,,,,,1.26000000,0.35000000,-0.24000000,0,0.00396440,0.00110122,-0.00075512,0,Mass,,,,,,,,,,,,,0,<a refstr=OFIR_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...90O/abstract target=ref>Ofir et al. 2025</a>,,,,,,0.836000,0.007000,-0.005000,0,0.901000,0.017000,-0.027000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170,2025-04-16,2025-02,2025-04-16
